srtnCd,itmsNm
000300,대유플러스
000300,DH오토넥스
001340,백광산업
001340,PKC
002790,아모레G
002790,아모레퍼시픽홀딩스
002795,아모레G우
002795,아모레퍼시픽홀딩스우
00279K,아모레G3우(전환)
00279K,아모레퍼시픽홀딩스3우C
003080,SB성보
003080,성보화학
005750,대림B&Co
005750,대림바스
006740,영풍제지
006740,블루산업개발
007720,대명소노시즌
007720,소노스퀘어
008970,동양철관
008970,KBI동양철관
0093G0,미래에셋비전기업스팩8호
0093G0,미래에셋비전스팩8호
010280,쌍용정보통신
010280,아이티센엔텍
011780,금호석유화학
011780,금호석유
011785,금호석유우
011785,금호석유화학우
013720,CBI
013720,THE CUBE&
015360,예스코홀딩스
015360,INVENI
015590,KIB플러그에너지
015590,DKME
016610,DB금융투자
016610,DB증권
017550,수산세보틱스
017550,수산중공업
017800,현대엘리베이터
017800,현대엘리베이
019490,하이트론
019490,엑시큐어하이트론
019590,엠벤처투자
019590,에스유앤피
022220,TKG애강
022220,티케이지애강
024900,덕양산업
024900,디와이덕양
025620,제이준코스메틱
025620,차AI헬스케어
031820,콤텍시스템
031820,아이티센씨티에스
031860,디에이치엑스컴퍼니
031860,에스유홀딩스
033290,코웰패션
033290,로젠
036120,SCI평가정보
036120,서울평가정보
036170,클라우드에어
036170,에이치엠넥스
036560,영풍정밀
036560,KZ정밀
036670,KCI
036670,삼양케이씨아이
043100,알파녹스
043100,알파AI
043610,KT지니뮤직
043610,지니뮤직
049470,SGA
049470,비트플래닛
060230,소니드
060230,제이케이시냅스
060560,홈센타홀딩스
060560,에이치씨홈센타
060560,HC홈센타
060900,DGP
060900,에이전트AI
063570,한국전자금융
063570,NICE인프라
066430,아이로보틱스
066430,와이오엠
072770,율호
072770,멤레이비티
076340,관악산업
076340,지에이이노더스
081660,휠라홀딩스
081660,미스토홀딩스
089140,넥스턴바이오
089140,넥스턴앤롤코리아
089600,나스미디어
089600,KT나스미디어
092780,DYP
092780,동양피스톤
094800,맵스리얼티1
094800,맵스리얼티
106080,하이소닉
106080,케이이엠텍
109960,AP헬스케어
109960,앱토크롬
117670,알파홀딩스
117670,알파칩스
121440,골프존뉴딘홀딩스
121440,골프존홀딩스
124500,아이티센
124500,아이티센글로벌
127120,디엔에이링크
127120,제이에스링크
136540,윈스테크넷
136540,윈스
139130,DGB금융지주
139130,iM금융지주
159910,스킨앤스킨
159910,에코글로우
187870,디바이스이엔지
187870,디바이스
192410,휴림네트웍스
192410,오늘이엔엠
196300,애니젠
196300,HLB펩
198080,캐프
198080,엔피디
203450,유니온커뮤니티
203450,유니온바이오메트릭스
205500,액션스퀘어
205500,넥써쓰
208710,바이오로그디바이스
208710,포톤
208860,엔지스테크널러지
208860,다산디엠씨
210120,빅텐츠
210120,캔버스엔
214610,더바이오메드
214610,미코바이오메드
214610,롤링스톤
215090,솔디펜스
215090,휴센텍
217620,디딤이앤에프
217620,선샤인푸드
223310,딥마인드
223310,사토시홀딩스
225530,보광산업
225530,에이치씨보광산업
225530,HC보광산업
227100,퀀텀온
227100,프로브잇
232830,시큐센
232830,아이티센피엔에스
243870,아이티센코어
243870,굿센
256940,케이피에스
256940,킵스파마
270520,지오릿에너지
270520,앱트뉴로사이언스
270520,앱튼
276730,제주맥주
276730,한울앤제주
286750,나노브릭
286750,나노실리칸첨단소재
288330,브릿지바이오테라퓨틱스
288330,파라택시스코리아
307180,아이엘
307180,아이엘사이언스
308100,형지글로벌
308100,까스텔바작
309930,오하임앤컴퍼니
309930,조이웍스앤코
311960,에이아이더뉴트리진
311960,인터로이드
321820,아티스트유나이티드
321820,아티스트컴퍼니
322180,티라유텍
322180,LS티라유텍
331380,포커스에이치엔에스
331380,포커스에이아이
332570,PS일렉트로닉스
332570,피에스일렉트로닉스
332570,와이팜
334890,이지스밸류리츠
334890,이지스밸류플러스리츠
337930,브랜드엑스코퍼레이션
337930,젝시믹스
340810,씨유박스
340810,시선에이아이
340810,시선AI
347700,라이프시맨틱스
347700,스피어
351320,에스에이티이엔지
351320,넥사다이내믹스
352770,셀레스트라
352770,클리노믹스
357880,비트나인
357880,스카이월드와이드
357880,SKAI
369370,블리츠웨이스튜디오
369370,블리츠웨이엔터테인먼트
376270,에이치이엠파마
376270,HEM파마
377030,맥스트
377030,비트맥스
381620,제닉스로보틱스
381620,제닉스
418470,KT밀리의서재
418470,밀리의서재
418620,이에이트
418620,E8
419050,삼기이브이
419050,삼기에너지솔루션즈
446840,키움제8호스팩
446840,지슨
450520,인스웨이브시스템즈
450520,인스웨이브
460940,피앤에스미캐닉스
460940,피앤에스로보틱스
476710,타조엔터테인먼트
476710,타조이엔터테인먼트
489790,한화인더스트리얼솔루션즈
489790,한화비전
